Município;UF;População (Censo 2022);TGCA (% a.a.);PIB total (R$ mil);PIB per capita (R$);Quadrante;Linha — ponderação limitada (%);Distância da linha limitada (p.p.);Prioridade — limitada;Linha — ponderação integral (%);Distância da linha integral (p.p.);Prioridade — integral
Barretos;SP;122485;0,74;6715414,139;54826,42;Grandes · crescendo;1,2448;-0,5048;Não prioritário;1,3174;-0,5774;Não prioritário
Barrinha;SP;32092;1;737580,107;22983,3;Pequenas · crescendo;1,5616;-0,5616;Não prioritário;1,7056;-0,7056;Não prioritário
Barueri;SP;316473;2,31;71646709,835;226391,22;Grandes · crescendo;1,0203;1,2897;Prioritário;1,0423;1,2677;Prioritário
Batatais;SP;58402;0,28;3328690,303;56996,17;Pequenas · estagnadas;1,42;-1,14;Não prioritário;1,532;-1,252;Não prioritário
Bauru;SP;379146;0,82;20654759,202;54477,06;Grandes · crescendo;0,9776;-0,1576;Não prioritário;0,9899;-0,1699;Não prioritário
Bebedouro;SP;76373;0,15;5343661,449;69967,94;Grandes · estagnadas;1,3566;-1,2066;Não prioritário;1,4543;-1,3043;Não prioritário
Bertioga;SP;64188;2,51;2663550,123;41496,08;Grandes · crescendo;1,3977;1,1123;Prioritário;1,5047;1,0053;Prioritário
Birigui;SP;118979;0,75;4866489,546;40902,09;Grandes · crescendo;1,2517;-0,5017;Não prioritário;1,3258;-0,5758;Não prioritário
Biritiba Mirim;SP;29683;0,32;1111541,124;37447,06;Pequenas · estagnadas;1,5801;-1,2601;Não prioritário;1,7282;-1,4082;Não prioritário
Boituva;SP;61081;1,97;4474129,933;73249,13;Grandes · crescendo;1,4094;0,5606;Prioritário;1,519;0,451;Prioritário
Botucatu;SP;145155;1,1;7992147,651;55059,4;Grandes · crescendo;1,2047;-0,1047;Não prioritário;1,2682;-0,1682;Não prioritário
Bragança Paulista;SP;176811;1,57;10443287,83;59064,7;Grandes · crescendo;1,158;0,412;Prioritário;1,211;0,359;Prioritário
Brodowski;SP;25201;1,49;667524,66;28185;Pequenas · crescendo;1,6188;-0,1288;Não prioritário;1,7756;-0,2856;Não prioritário
